"287","JL. KAPUAS","0","83.33","16.67","0","1650","K","LU","Tidak"
"288","JL. BARITO","0","100","0","0","1650","K","LU","Tidak"
"289","JL. KI LELONO","100","0","0","0","1950","K","LU","Tidak"
"290","JL. RUMPUK","50","50","0","0","1950","K","LU","Tidak"
"291","JL. CINDE WILIS","44.44","55.56","0","0","1950","K","LU","Tidak"
"292","JL. JAGADAN","100","0","0","0","1950","K","LU","Tidak"
"293","JL. SUMINTEN","100","0","0","0","1950","K","LU","Tidak"
"294","JL. SERAKUNG","0","100","0","0","2050","K","LU","Tidak"
"295","JL. PACAR Gg. I","100","0","0","0","1950","K","LU","Tidak"
"296","JL. PACAR Gg. II","0","100","0","0","1950","K","LU","Tidak"
"297","JL. PACAR Gg. III","0","100","0","0","1650","K","LU","Tidak"
"298","JL. PACAR Gg. IV","0","100","0","0","1950","K","LU","Tidak"
"299","JL. PACAR Gg. V","6","44","50","0","1950","K","LU","Tidak"
"300","JL. PACAR Gg. VI","60","40","0","0","1950","K","LU","Tidak"
